TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1757097002;9/5/2025 6:30:02 PM;32.69;0;54.16;989.9;7.56;184;0;
1757097064;9/5/2025 6:31:04 PM;32.75;0;53.37;990;5.4;182;0;
1757097127;9/5/2025 6:32:07 PM;32.72;0;53.71;990;8.64;183;0;
1757097190;9/5/2025 6:33:10 PM;32.52;0;53.19;990.1;7.56;166;0;
1757097252;9/5/2025 6:34:12 PM;32.46;0;54.58;990;4.32;255;0;
1757097315;9/5/2025 6:35:15 PM;32.61;0;54.05;990;5.76;181;0;
1757097378;9/5/2025 6:36:18 PM;32.67;0;53.53;990;10.44;222;0;
1757097440;9/5/2025 6:37:20 PM;32.76;0;52.57;989.9;4.68;190;0;
1757097503;9/5/2025 6:38:23 PM;32.73;0;52.76;989.9;6.12;218;0;
1757097566;9/5/2025 6:39:26 PM;32.88;0;52.77;989.9;2.52;136;0;
1757097629;9/5/2025 6:40:29 PM;33.14;0;52.51;989.8;10.44;172;0;
1757097691;9/5/2025 6:41:31 PM;33.12;0;51.57;989.9;6.84;193;0;
1757097754;9/5/2025 6:42:34 PM;33.05;0;52.28;989.9;9.36;175;0;
1757097817;9/5/2025 6:43:37 PM;32.73;0;52.03;989.9;10.8;164;0;
1757097879;9/5/2025 6:44:39 PM;32.5;0;52.57;989.9;14.04;173;0;
1757097942;9/5/2025 6:45:42 PM;32.37;0;52.62;990;10.44;177;0;
1757098005;9/5/2025 6:46:45 PM;32.32;0;52.85;989.8;3.96;218;0;
1757098067;9/5/2025 6:47:47 PM;32.31;0;53.25;989.8;3.6;207;0;
1757098130;9/5/2025 6:48:50 PM;32.43;0;53.26;989.8;4.32;161;0;
1757098193;9/5/2025 6:49:53 PM;32.58;0;53.24;989.8;3.6;174;0;
1757098255;9/5/2025 6:50:55 PM;32.68;0;52.9;989.8;9;201;0;
1757098318;9/5/2025 6:51:58 PM;32.71;0;52.74;989.8;5.04;192;0;
1757098381;9/5/2025 6:53:01 PM;32.67;0;52.9;989.8;7.56;183;0;
1757098444;9/5/2025 6:54:04 PM;32.65;0;53.18;989.7;3.6;197;0;
1757098506;9/5/2025 6:55:06 PM;32.72;0;53.56;989.8;3.6;198;0;
1757098569;9/5/2025 6:56:09 PM;32.79;0;52.54;989.7;10.08;215;0;
1757098632;9/5/2025 6:57:12 PM;32.84;0;51.95;989.8;11.52;219;0;
1757098694;9/5/2025 6:58:14 PM;32.81;0;51.86;989.7;8.28;182;0;
1757098757;9/5/2025 6:59:17 PM;32.73;0;51.8;989.8;5.76;190;0;
