NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;2:17.863;0;;58.703;0;48.391;0;30.769;0;96.7;2:17.863;08:47:17.863;0:58.703;0:48.391;0:30.769;165.1;Karl Forman;0:00:29.020;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;58.703;48.391;30.769;46.693;46.693;12.010;58.703;34.055;1:32.758;14.336;1:47.094;12.020;1:59.114;18.749;2:17.863;
03;1;2;1:39.204;0;;27.291;0;43.131;0;28.782;2;134.3;3:57.067;08:48:57.067;0:27.291;0:43.131;0:28.782;181.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;27.291;43.131;28.782;17.412;17.412;9.879;27.291;30.250;57.541;12.881;1:10.422;10.994;1:21.416;17.788;1:39.204;
03;1;3;1:39.036;0;;27.044;0;43.033;0;28.959;0;134.6;5:36.103;08:50:36.103;0:27.044;0:43.033;0:28.959;182.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;27.044;43.033;28.959;17.196;17.196;9.848;27.044;30.177;57.221;12.856;1:10.077;11.054;1:21.131;17.905;1:39.036;
03;1;4;1:38.793;0;;26.827;2;43.092;0;28.874;0;134.9;7:14.896;08:52:14.896;0:26.827;0:43.092;0:28.874;182.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.827;43.092;28.874;17.003;17.003;9.824;26.827;30.239;57.066;12.853;1:09.919;11.068;1:20.987;17.806;1:38.793;
03;1;5;1:38.681;2;;26.887;0;42.856;2;28.938;0;135.0;8:53.577;08:53:53.577;0:26.887;0:42.856;0:28.938;182.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.887;42.856;28.938;17.087;17.087;9.800;26.887;30.019;56.906;12.837;1:09.743;10.999;1:20.742;17.939;1:38.681;
03;1;6;1:39.166;0;;27.002;0;43.148;0;29.016;0;134.4;10:32.743;08:55:32.743;0:27.002;0:43.148;0:29.016;183.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;27.002;43.148;29.016;17.172;17.172;9.830;27.002;30.325;57.327;12.823;1:10.150;10.980;1:21.130;18.036;1:39.166;
03;1;7;1:39.187;0;;27.022;0;43.076;0;29.089;0;134.3;12:11.930;08:57:11.930;0:27.022;0:43.076;0:29.089;182.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;27.022;43.076;29.089;17.237;17.237;9.785;27.022;30.271;57.293;12.805;1:10.098;11.010;1:21.108;18.079;1:39.187;
03;1;8;1:39.330;0;;26.950;0;43.188;0;29.192;0;134.2;13:51.260;08:58:51.260;0:26.950;0:43.188;0:29.192;182.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.950;43.188;29.192;17.136;17.136;9.814;26.950;30.307;57.257;12.881;1:10.138;11.004;1:21.142;18.188;1:39.330;
03;1;9;3:22.284;0;B;27.034;0;42.922;0;2:12.328;0;65.9;17:13.544;09:02:13.544;0:27.034;0:42.922;2:12.328;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;27.034;42.922;132.328;17.213;17.213;9.821;27.034;30.168;57.202;12.754;1:09.956;10.981;1:20.937;2:01.347;3:22.284;
111;1;1;2:41.481;0;;1:26.644;0;45.948;0;28.889;0;82.5;2:41.481;08:47:41.481;1:26.644;0:45.948;0:28.889;181.2;Isabella Robusto;0:00:59.630;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;86.644;45.948;28.889;1:16.305;1:16.305;10.339;1:26.644;32.891;1:59.535;13.057;2:12.592;11.179;2:23.771;17.710;2:41.481;
111;1;2;1:38.340;0;;26.748;0;43.069;0;28.523;2;135.5;4:19.821;08:49:19.821;0:26.748;0:43.069;0:28.523;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.748;43.069;28.523;16.973;16.973;9.775;26.748;30.265;57.013;12.804;1:09.817;10.988;1:20.805;17.535;1:38.340;
111;1;3;1:38.676;0;;26.848;0;42.776;0;29.052;0;135.0;5:58.497;08:50:58.497;0:26.848;0:42.776;0:29.052;183.1;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.848;42.776;29.052;16.997;16.997;9.851;26.848;29.972;56.820;12.804;1:09.624;11.294;1:20.918;17.758;1:38.676;
111;1;4;1:37.908;2;;26.727;2;42.581;0;28.600;0;136.1;7:36.405;08:52:36.405;0:26.727;0:42.581;0:28.600;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.727;42.581;28.600;16.933;16.933;9.794;26.727;29.850;56.577;12.731;1:09.308;10.955;1:20.263;17.645;1:37.908;
111;1;5;1:37.982;0;;26.762;0;42.544;2;28.676;0;136.0;9:14.387;08:54:14.387;0:26.762;0:42.544;0:28.676;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.762;42.544;28.676;16.910;16.910;9.852;26.762;29.811;56.573;12.733;1:09.306;10.992;1:20.298;17.684;1:37.982;
111;1;6;1:38.316;0;;26.761;0;42.599;0;28.956;0;135.5;10:52.703;08:55:52.703;0:26.761;0:42.599;0:28.956;185.2;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.761;42.599;28.956;16.950;16.950;9.811;26.761;29.879;56.640;12.720;1:09.360;11.292;1:20.652;17.664;1:38.316;
111;1;7;1:38.460;0;;26.897;0;42.731;0;28.832;0;135.3;12:31.163;08:57:31.163;0:26.897;0:42.731;0:28.832;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.897;42.731;28.832;17.122;17.122;9.775;26.897;29.986;56.883;12.745;1:09.628;11.104;1:20.732;17.728;1:38.460;
111;1;8;1:38.368;0;;26.811;0;42.788;0;28.769;0;135.5;14:09.531;08:59:09.531;0:26.811;0:42.788;0:28.769;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.811;42.788;28.769;17.049;17.049;9.762;26.811;30.067;56.878;12.721;1:09.599;10.971;1:20.570;17.798;1:38.368;
111;1;9;1:38.454;0;;26.892;0;42.806;0;28.756;0;135.3;15:47.985;09:00:47.985;0:26.892;0:42.806;0:28.756;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;26.892;42.806;28.756;17.052;17.052;9.840;26.892;30.060;56.952;12.746;1:09.698;10.947;1:20.645;17.809;1:38.454;
113;1;1;2:07.236;0;;53.148;0;43.617;0;30.471;0;104.7;2:07.236;08:47:07.236;0:53.148;0:43.617;0:30.471;184.3;Ethan Tovo;0:00:25.995;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;53.148;43.617;30.471;42.990;42.990;10.158;53.148;30.776;1:23.924;12.841;1:36.765;11.278;1:48.043;19.193;2:07.236;
113;1;2;1:38.794;0;;27.246;0;43.041;0;28.507;2;134.9;3:46.030;08:48:46.030;0:27.246;0:43.041;0:28.507;184.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;27.246;43.041;28.507;17.275;17.275;9.971;27.246;30.278;57.524;12.763;1:10.287;10.791;1:21.078;17.716;1:38.794;
113;1;3;1:38.128;0;;26.766;0;42.732;0;28.630;0;135.8;5:24.158;08:50:24.158;0:26.766;0:42.732;0:28.630;184.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;26.766;42.732;28.630;16.980;16.980;9.786;26.766;29.971;56.737;12.761;1:09.498;10.840;1:20.338;17.790;1:38.128;
113;1;4;1:37.922;2;;26.664;2;42.496;2;28.762;0;136.1;7:02.080;08:52:02.080;0:26.664;0:42.496;0:28.762;184.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;26.664;42.496;28.762;16.932;16.932;9.732;26.664;29.735;56.399;12.761;1:09.160;11.060;1:20.220;17.702;1:37.922;
113;1;5;1:38.291;0;;26.758;0;42.599;0;28.934;0;135.6;8:40.371;08:53:40.371;0:26.758;0:42.599;0:28.934;184.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;26.758;42.599;28.934;16.912;16.912;9.846;26.758;29.828;56.586;12.771;1:09.357;11.063;1:20.420;17.871;1:38.291;
113;1;6;1:38.764;0;;26.832;0;42.830;0;29.102;0;134.9;10:19.135;08:55:19.135;0:26.832;0:42.830;0:29.102;183.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;26.832;42.830;29.102;16.947;16.947;9.885;26.832;30.020;56.852;12.810;1:09.662;11.069;1:20.731;18.033;1:38.764;
113;1;7;1:38.393;0;;26.878;0;42.686;0;28.829;0;135.4;11:57.528;08:56:57.528;0:26.878;0:42.686;0:28.829;183.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;26.878;42.686;28.829;17.090;17.090;9.788;26.878;29.900;56.778;12.786;1:09.564;11.026;1:20.590;17.803;1:38.393;
113;1;8;1:38.511;0;;27.040;0;42.732;0;28.739;0;135.3;13:36.039;08:58:36.039;0:27.040;0:42.732;0:28.739;183.1;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;27.040;42.732;28.739;17.152;17.152;9.888;27.040;29.925;56.965;12.807;1:09.772;10.960;1:20.732;17.779;1:38.511;
113;1;9;1:38.370;0;;26.742;0;42.635;0;28.993;0;135.5;15:14.409;09:00:14.409;0:26.742;0:42.635;0:28.993;184.3;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;FF;26.742;42.635;28.993;16.925;16.925;9.817;26.742;29.882;56.624;12.753;1:09.377;11.146;1:20.523;17.847;1:38.370;
13;1;1;1:49.519;0;;37.157;0;43.458;0;28.904;0;121.7;1:49.519;08:46:49.519;0:37.157;0:43.458;0:28.904;181.2;Westin Workman;0:00:10.285;Am;;BSI Racing;Toyota Gazoo Racing;GF;37.157;43.458;28.904;27.071;27.071;10.086;37.157;30.593;1:07.750;12.865;1:20.615;11.112;1:31.727;17.792;1:49.519;
13;1;2;1:37.667;0;;26.784;0;42.451;0;28.432;0;136.4;3:27.186;08:48:27.186;0:26.784;0:42.451;0:28.432;184.3;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;26.784;42.451;28.432;17.080;17.080;9.704;26.784;29.717;56.501;12.734;1:09.235;10.843;1:20.078;17.589;1:37.667;
13;1;3;1:36.970;0;;26.545;0;42.261;0;28.164;3;137.4;5:04.156;08:50:04.156;0:26.545;0:42.261;0:28.164;185.2;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;26.545;42.261;28.164;16.780;16.780;9.765;26.545;29.573;56.118;12.688;1:08.806;10.663;1:19.469;17.501;1:36.970;
13;1;4;1:36.926;3;;26.496;0;42.170;2;28.260;0;137.5;6:41.082;08:51:41.082;0:26.496;0:42.170;0:28.260;185.2;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;26.496;42.170;28.260;16.751;16.751;9.745;26.496;29.508;56.004;12.662;1:08.666;10.682;1:19.348;17.578;1:36.926;
13;1;5;1:37.336;0;;26.589;0;42.353;0;28.394;0;136.9;8:18.418;08:53:18.418;0:26.589;0:42.353;0:28.394;185.2;Westin Workman;;Am;;BSI Racing;Toyota Gazoo Racing;GF;26.589;42.353;28.394;16.792;16.792;9.797;26.589;29.649;56.238;12.704;1:08.942;10.774;1:19.716;17.620;1:37.336;
