TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1757166337;9/6/2025 1:45:37 PM;26.44;0;77.58;992.2;0.72;351;0;
1757166400;9/6/2025 1:46:40 PM;26.52;0;77.39;992.3;0.72;351;0;
1757166462;9/6/2025 1:47:42 PM;26.55;0;77.42;992.3;0.36;62;0;
1757166525;9/6/2025 1:48:45 PM;26.57;0;77.45;992.4;1.08;34;0;
1757166588;9/6/2025 1:49:48 PM;26.59;0;76.68;992.4;0;54;0;
1757166650;9/6/2025 1:50:50 PM;26.63;0;76.72;992.4;1.08;12;0;
1757166713;9/6/2025 1:51:53 PM;26.62;0;75.7;992.4;2.88;43;0;
1757166776;9/6/2025 1:52:56 PM;26.55;0;76.05;992.3;3.24;332;0;
1757166839;9/6/2025 1:53:59 PM;26.6;0;76.11;992.3;0.72;39;0;
1757166901;9/6/2025 1:55:01 PM;26.73;0;76.13;992.2;2.88;48;0;
1757166964;9/6/2025 1:56:04 PM;26.87;0;75.6;992.2;1.8;49;0;
1757167027;9/6/2025 1:57:07 PM;26.99;0;74.62;992.3;2.16;37;0;
1757167089;9/6/2025 1:58:09 PM;27.11;0;74.29;992.3;1.8;128;0;
1757167152;9/6/2025 1:59:12 PM;27.09;0;74.26;992.5;4.32;172;0;
