NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;2:16.544;0;;58.320;0;47.346;0;30.878;0;97.6;2:16.544;08:12:16.544;0:58.320;0:47.346;0:30.878;169.0;Karl Forman;0:00:29.028;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;58.320;47.346;30.878;46.746;46.746;11.574;58.320;33.369;1:31.689;13.977;1:45.666;12.211;1:57.877;18.667;2:16.544;
03;1;2;1:39.553;0;;27.350;0;43.044;0;29.159;0;133.9;3:56.097;08:13:56.097;0:27.350;0:43.044;0:29.159;183.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;27.350;43.044;29.159;17.619;17.619;9.731;27.350;30.270;57.620;12.774;1:10.394;11.155;1:21.549;18.004;1:39.553;
03;1;3;1:38.891;0;;26.981;0;42.982;0;28.928;0;134.7;5:34.988;08:15:34.988;0:26.981;0:42.982;0:28.928;183.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.981;42.982;28.928;17.231;17.231;9.750;26.981;30.256;57.237;12.726;1:09.963;11.049;1:21.012;17.879;1:38.891;
03;1;4;1:38.335;0;;26.713;0;42.765;0;28.857;0;135.5;7:13.323;08:17:13.323;0:26.713;0:42.765;0:28.857;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.713;42.765;28.857;16.992;16.992;9.721;26.713;30.078;56.791;12.687;1:09.478;10.968;1:20.446;17.889;1:38.335;
03;1;5;1:38.857;0;;26.884;0;42.829;0;29.144;0;134.8;8:52.180;08:18:52.180;0:26.884;0:42.829;0:29.144;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.884;42.829;29.144;17.153;17.153;9.731;26.884;30.183;57.067;12.646;1:09.713;11.274;1:20.987;17.870;1:38.857;
03;1;6;1:38.869;0;;26.960;0;43.036;0;28.873;0;134.8;10:31.049;08:20:31.049;0:26.960;0:43.036;0:28.873;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.960;43.036;28.873;17.222;17.222;9.738;26.960;30.308;57.268;12.728;1:09.996;11.137;1:21.133;17.736;1:38.869;
03;1;7;1:38.109;2;;26.709;2;42.589;2;28.811;2;135.8;12:09.158;08:22:09.158;0:26.709;0:42.589;0:28.811;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.709;42.589;28.811;17.024;17.024;9.685;26.709;29.943;56.652;12.646;1:09.298;11.011;1:20.309;17.800;1:38.109;
03;1;8;1:38.875;0;;26.815;0;42.929;0;29.131;0;134.8;13:48.033;08:23:48.033;0:26.815;0:42.929;0:29.131;184.3;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;26.815;42.929;29.131;17.124;17.124;9.691;26.815;30.202;57.017;12.727;1:09.744;11.256;1:21.000;17.875;1:38.875;
03;1;9;3:16.743;0;B;26.912;0;42.695;0;2:07.136;0;67.7;17:04.776;08:27:04.776;0:26.912;0:42.695;2:07.136;185.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;26.912;42.695;127.136;17.218;17.218;9.694;26.912;30.020;56.932;12.675;1:09.607;11.092;1:20.699;1:56.044;3:16.743;
111;1;1;2:46.779;0;;1:33.191;0;44.389;0;29.199;0;79.9;2:46.779;08:12:46.779;1:33.191;0:44.389;0:29.199;182.1;Isabella Robusto;0:01:05.828;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;93.191;44.389;29.199;1:22.953;1:22.953;10.238;1:33.191;31.560;2:04.751;12.829;2:17.580;11.332;2:28.912;17.867;2:46.779;
111;1;2;1:38.665;0;;26.711;0;43.085;0;28.869;0;135.1;4:25.444;08:14:25.444;0:26.711;0:43.085;0:28.869;183.1;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.711;43.085;28.869;16.977;16.977;9.734;26.711;30.401;57.112;12.684;1:09.796;11.178;1:20.974;17.691;1:38.665;
111;1;3;1:37.756;0;;26.614;0;42.508;0;28.634;0;136.3;6:03.200;08:16:03.200;0:26.614;0:42.508;0:28.634;185.2;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.614;42.508;28.634;16.894;16.894;9.720;26.614;29.888;56.502;12.620;1:09.122;10.980;1:20.102;17.654;1:37.756;
111;1;4;1:39.329;0;;26.852;0;42.579;0;29.898;0;134.2;7:42.529;08:17:42.529;0:26.852;0:42.579;0:29.898;185.2;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.852;42.579;29.898;17.062;17.062;9.790;26.852;29.945;56.797;12.634;1:09.431;11.411;1:20.842;18.487;1:39.329;
111;1;5;1:37.964;0;;26.673;0;42.534;0;28.757;0;136.0;9:20.493;08:19:20.493;0:26.673;0:42.534;0:28.757;185.2;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.673;42.534;28.757;17.050;17.050;9.623;26.673;29.899;56.572;12.635;1:09.207;11.006;1:20.213;17.751;1:37.964;
111;1;6;1:37.365;2;;26.484;2;42.290;2;28.591;2;136.9;10:57.858;08:20:57.858;0:26.484;0:42.290;0:28.591;185.2;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.484;42.290;28.591;16.801;16.801;9.683;26.484;29.712;56.196;12.578;1:08.774;10.962;1:19.736;17.629;1:37.365;
111;1;7;1:37.829;0;;26.638;0;42.478;0;28.713;0;136.2;12:35.687;08:22:35.687;0:26.638;0:42.478;0:28.713;184.3;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.638;42.478;28.713;16.853;16.853;9.785;26.638;29.882;56.520;12.596;1:09.116;11.107;1:20.223;17.606;1:37.829;
111;1;8;1:38.830;0;;26.679;0;42.938;0;29.213;0;134.8;14:14.517;08:24:14.517;0:26.679;0:42.938;0:29.213;182.1;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;26.679;42.938;29.213;16.968;16.968;9.711;26.679;30.106;56.785;12.832;1:09.617;11.225;1:20.842;17.988;1:38.830;
111;1;9;2:07.260;0;B;26.827;0;44.730;0;55.703;0;104.7;16:21.777;08:26:21.777;0:26.827;0:44.730;0:55.703;178.2;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;26.827;44.730;55.703;16.960;16.960;9.867;26.827;30.869;57.696;13.861;1:11.557;11.564;1:23.121;44.139;2:07.260;
113;1;1;2:10.015;0;;55.082;0;44.161;0;30.772;0;102.5;2:10.015;08:12:10.015;0:55.082;0:44.161;0:30.772;184.3;Ethan Tovo;0:00:26.176;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;55.082;44.161;30.772;43.284;43.284;11.798;55.082;31.445;1:26.527;12.716;1:39.243;11.068;1:50.311;19.704;2:10.015;
113;1;2;1:38.553;0;;26.896;0;42.772;0;28.885;0;135.2;3:48.568;08:13:48.568;0:26.896;0:42.772;0:28.885;185.2;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;26.896;42.772;28.885;17.048;17.048;9.848;26.896;30.172;57.068;12.600;1:09.668;10.965;1:20.633;17.920;1:38.553;
